,inventory,balance,num_ordered,order_cutoff,time,Storage Cost per Item,Daily Demand Min,Daily Demand Max,Safety Stock,Revenue,Days
0,0,-1361628,5679841,271,0,2,124,174,271,-1361628,180
0,2180,-860940,11129080,271,1,2,124,174,271,-860940,360
0,2359,-1166900,16576706,271,2,2,124,174,271,-1166900,540
0,0,-1231538,22159990,271,3,2,124,174,271,-1231538,720
0,3595,-1538136,27633196,271,4,2,124,174,271,-1538136,900
0,0,-1321392,32784016,271,5,2,124,174,271,-1321392,1080
0,2209,-1077282,38241932,271,6,2,124,174,271,-1077282,1260
0,0,-1675734,43607852,271,7,2,124,174,271,-1675734,1440
0,0,-1888750,49370874,271,8,2,124,174,271,-1888750,1620
0,0,-1505898,54681274,271,9,2,124,174,271,-1505898,1800
